cliente,monto_por_categoria
67111,CAMP_mucho
67111,OPTI_mucho
67111,PESC_mucho
67111,PESP_mucho
67111,PESR_mucho
67111,TIRO_medio
67126,CAMP_mucho
67126,INDU_medio
67126,OPTI_mucho
67126,PESR_medio
67197,CAMP_poco
67197,INDU_poco
67197,PESP_medio
67207,CAMP_mucho
67214,CAMP_mucho
67214,INDU_medio
67218,CAMP_medio
67218,PESC_mucho
67218,PESP_medio
67218,PESR_mucho
67220,OPTI_mucho
67228,PESC_poco
67228,PESR_poco
67235,CAMP_poco
67235,INDU_poco
67235,INST_poco
67235,PESC_medio
67235,PESP_poco
67235,PESR_medio
67235,TIRO_poco
67236,INST_poco
67236,OPTI_mucho
67248,CAMP_mucho
67258,CAMP_mucho
67258,INDP_mucho
67258,INDU_poco
67258,OPTI_medio
67258,PESP_medio
67258,TIRO_poco
67261,CAMP_mucho
67261,CUCH_poco
67261,INDP_medio
67261,INDU_mucho
67261,OPTI_medio
67261,PESC_mucho
67261,PESP_medio
67261,PESR_mucho
67261,TIRO_medio
67263,CAMP_poco
67263,INDP_mucho
67263,INDU_medio
67278,OPTI_mucho
67286,CAMP_mucho
67286,INDP_medio
67286,TIRO_medio
67287,CAMP_poco
67287,INDU_medio
67297,OPTI_poco
67297,PESC_medio
67297,PESP_poco
67297,PESR_medio
67305,PESC_medio
67305,PESP_poco
67313,CAMP_poco
67313,OPTI_medio
67314,PESC_poco
67314,PESP_mucho
67314,PESR_medio
67330,INST_poco
67330,OPTI_medio
67330,TIRO_medio
67340,CAMP_mucho
67340,INDP_poco
67340,TIRO_poco
67344,CAMP_mucho
67344,OPTI_mucho
67348,CAMP_poco
67348,INDU_poco
67348,PESC_poco
67348,PESP_medio
67348,PESR_poco
67353,CAMP_medio
67353,INDP_poco
67353,INDU_poco
67353,OPTI_poco
67353,PESC_poco
67353,PESP_medio
67353,PESR_medio
67353,TIRO_poco
67372,CAMP_mucho
67372,INDU_medio
67372,OPTI_medio
67372,PESC_medio
67372,PESP_medio
67372,PESR_medio
67373,CAMP_mucho
67373,INDU_poco
67379,CAMP_mucho
67379,CUCH_poco
67379,INDU_medio
67379,PESC_mucho
67379,PESP_mucho
67379,PESR_mucho
67401,CAMP_mucho
67401,INDP_medio
67401,PESC_mucho
67401,PESP_mucho
67401,PESR_medio
67408,CAMP_medio
67408,INDP_poco
67408,PESC_medio
67408,PESP_poco
67408,PESR_medio
67416,PESC_medio
67416,PESP_mucho
67416,PESR_medio
67422,OPTI_mucho
67423,CAMP_mucho
67423,INDU_medio
67444,OPTI_poco
67456,CAMP_poco
67456,INDP_poco
67456,OPTI_poco
67456,PESP_poco
67456,PESR_poco
67458,CAMP_mucho
67458,PESC_poco
67473,CAMP_poco
67473,CUCH_poco
67473,INDU_medio
67473,PESP_poco
67485,CAMP_poco
67485,CUCH_poco
67485,OPTI_poco
67487,CAMP_mucho
67487,PESP_poco
67489,PESP_mucho
67501,CAMP_medio
67503,INDP_poco
67503,PESR_poco
67516,CAMP_mucho
67516,OPTI_medio
67516,PESC_mucho
67516,PESP_mucho
67516,PESR_mucho
67543,CAMP_poco
67543,CUCH_poco
67543,PESP_medio
67543,TIRO_poco
67564,OPTI_mucho
67573,CAMP_mucho
67573,CUCH_medio
67573,INDU_medio
67573,OPTI_poco
67573,PESC_medio
67573,PESP_mucho
67573,PESR_poco
67573,TIRO_poco
67587,CAMP_mucho
67587,CUCH_poco
67587,INDU_mucho
67587,OPTI_poco
67587,PESC_medio
67587,TIRO_poco
67603,CAMP_mucho
67603,INDP_medio
67603,INDU_mucho
67603,OPTI_poco
67603,PESC_mucho
67603,PESP_mucho
67603,PESR_mucho
67603,TIRO_medio
67612,CAMP_mucho
67612,OPTI_poco
67612,PESC_medio
67612,PESP_mucho
67612,PESR_medio
67612,TIRO_medio
67626,CAMP_poco
67626,INST_poco
67626,OPTI_poco
67639,CAMP_mucho
67639,OPTI_poco
67639,TIRO_poco
67640,CAMP_mucho
67640,INDP_medio
67644,PESC_mucho
67644,PESP_medio
67644,PESR_medio
67646,CAMP_medio
67646,INDU_mucho
67648,PESC_poco
67648,PESP_poco
67648,PESR_poco
67654,CAMP_poco
67654,INDP_poco
67654,INDU_poco
67654,PESC_medio
67654,PESP_medio
67654,PESR_poco
67656,CAMP_medio
67656,INDP_medio
67656,PESP_mucho
67656,PESR_mucho
67671,INDP_poco
67671,INDU_poco
67671,OPTI_mucho
67672,PESC_mucho
67672,PESP_medio
67672,PESR_medio
67684,CAMP_mucho
67689,PESC_poco
67689,PESP_medio
67689,PESR_poco
67713,CAMP_mucho
67714,CUCH_poco
67731,CAMP_mucho
67731,PESC_medio
67731,PESP_medio
67731,PESR_poco
67743,CAMP_mucho
67743,CUCH_poco
67743,INDU_medio
67743,INST_poco
67743,OPTI_medio
67743,PESC_poco
67743,PESP_poco
67743,PESR_poco
67743,TIRO_poco
67755,CAMP_poco
67755,PESP_poco
67755,PESR_poco
67758,CAMP_medio
67758,INDP_poco
67758,INDU_poco
67758,PESP_medio
67758,PESR_poco
67772,CAMP_mucho
67772,CUCH_poco
67772,INDP_mucho
67772,INDU_mucho
67772,INST_poco
67772,OPTI_mucho
67772,PESC_mucho
67772,PESP_mucho
67772,PESR_mucho
67772,TIRO_mucho
67774,CAMP_mucho
67783,CAMP_poco
67783,PESC_poco
67783,PESP_poco
67783,PESR_poco
67785,CAMP_medio
67785,PESC_medio
67785,PESP_medio
67785,PESR_poco
67793,OPTI_poco
67793,PESC_medio
67793,PESP_medio
67793,PESR_medio
67801,CAMP_medio
67801,INDU_medio
67804,CAMP_poco
67804,CUCH_poco
67804,OPTI_poco
67804,PESC_medio
67805,CAMP_medio
67805,CUCH_poco
67805,INDP_poco
67805,INDU_poco
67805,INST_poco
67805,OPTI_poco
67805,PESC_medio
67805,PESP_medio
67805,PESR_medio
67842,CAMP_poco
67842,PESP_poco
67842,PESR_poco
67846,CAMP_medio
67846,PESC_poco
67846,PESP_mucho
67846,PESR_poco
67849,PESC_medio
67849,PESP_mucho
67849,PESR_poco
67864,CAMP_poco
67864,OPTI_medio
67864,PESP_poco
67884,INDU_medio
67884,PESC_mucho
67884,PESP_medio
67884,PESR_mucho
67900,CAMP_poco
67900,INDU_poco
67900,PESP_mucho
67900,TIRO_poco
67928,CAMP_mucho
67928,CUCH_poco
67928,INDU_medio
67934,INDU_mucho
67944,CAMP_mucho
67944,CUCH_poco
67944,OPTI_poco
67944,PESC_medio
67944,PESP_medio
67944,PESR_medio
67945,CAMP_poco
67945,PESC_mucho
67945,PESP_medio
67945,PESR_mucho
67945,TIRO_poco
67965,CAMP_mucho
67965,INDU_mucho
67965,INST_medio
67965,OPTI_mucho
67965,PESC_mucho
67965,PESP_medio
67965,PESR_mucho
67965,TIRO_mucho
67995,OPTI_medio
68001,OPTI_mucho
68001,PESC_poco
68001,PESR_poco
68010,PESC_poco
68010,PESP_medio
68018,OPTI_medio
68054,CAMP_poco
68054,OPTI_medio
68056,PESP_mucho
68067,CAMP_medio
68067,CUCH_poco
68067,INDU_poco
68067,PESC_medio
68067,PESP_medio
68067,PESR_medio
68067,TIRO_poco
68078,CAMP_mucho
68078,INDP_mucho
68078,OPTI_mucho
68078,PESC_medio
68078,PESP_mucho
68078,TIRO_medio
68131,CAMP_medio
68131,PESC_medio
68131,PESR_medio
68179,PESP_mucho
68179,TIRO_poco
68183,CAMP_poco
68183,INDP_poco
68183,INDU_poco
68183,OPTI_medio
68209,CAMP_mucho
68209,CUCH_mucho
68209,INDP_mucho
68209,INDU_mucho
68209,OPTI_mucho
68209,PESC_mucho
68209,PESP_mucho
68209,PESR_mucho
68209,TIRO_medio
68235,PESC_poco
68235,PESP_medio
68235,PESR_mucho
68252,CAMP_poco
68252,OPTI_medio
68265,OPTI_poco
68265,PESC_poco
68265,PESP_poco
68265,PESR_poco
68299,CAMP_poco
68314,PESP_medio
68347,CAMP_poco
68347,OPTI_mucho
68347,PESC_medio
68347,PESR_poco
68353,CAMP_poco
68353,INDU_poco
68361,CAMP_medio
68361,INDP_mucho
68361,INDU_poco
68361,OPTI_mucho
68361,PESP_medio
68365,CAMP_mucho
68365,CUCH_mucho
68365,INDP_medio
68365,INDU_medio
68365,OPTI_poco
68365,PESP_medio
68365,TIRO_poco
68374,CAMP_mucho
68431,CAMP_mucho
68431,CUCH_poco
68431,INDP_poco
68431,INDU_mucho
68431,OPTI_mucho
68431,PESP_poco
68431,TIRO_poco
68465,CAMP_medio
68465,INDU_poco
68465,PESC_medio
68465,PESP_poco
68491,PESC_medio
68491,PESP_medio
68491,PESR_poco
68494,CAMP_poco
68494,PESC_medio
68494,PESP_medio
68494,PESR_medio
68500,PESC_medio
68556,CAMP_poco
68556,OPTI_medio
68561,CAMP_mucho
68561,CUCH_medio
68561,INDP_medio
68561,OPTI_poco
68561,PESC_mucho
68561,PESP_mucho
68561,PESR_mucho
68561,TIRO_medio
68573,PESP_medio
68601,CAMP_mucho
68601,CUCH_poco
68601,INDP_medio
68601,INDU_medio
68601,OPTI_medio
68601,PESC_mucho
68601,PESP_mucho
68601,PESR_mucho
68602,CAMP_medio
68602,CUCH_poco
68602,PESC_mucho
68602,PESP_medio
68602,PESR_mucho
68602,TIRO_medio
68619,CAMP_mucho
68619,CUCH_poco
68619,INDP_poco
68619,INDU_medio
68619,OPTI_poco
68619,PESC_medio
68619,PESP_mucho
68619,TIRO_mucho
68626,CAMP_mucho
68626,CUCH_poco
68626,INDP_mucho
68626,PESC_medio
68626,PESP_medio
68626,PESR_medio
68637,OPTI_medio
68657,CAMP_medio
68657,OPTI_mucho
68685,OPTI_medio
68715,CAMP_medio
68715,INDU_poco
68715,OPTI_medio
68715,PESC_mucho
68715,PESP_mucho
68715,PESR_mucho
68727,CAMP_mucho
68727,INDP_medio
68727,INDU_mucho
68727,OPTI_mucho
68727,PESC_medio
68727,PESP_poco
68727,PESR_medio
68727,TIRO_mucho
68742,CAMP_poco
68742,CUCH_poco
68742,OPTI_poco
68742,PESC_medio
68742,PESP_medio
68742,PESR_poco
68744,OPTI_medio
68750,OPTI_medio
68750,PESP_poco
68769,CAMP_poco
68769,OPTI_mucho
68778,PESP_medio
68778,PESR_poco
68789,CAMP_medio
68789,OPTI_mucho
68828,CAMP_medio
68828,INDP_mucho
68828,INDU_medio
68828,PESC_mucho
68828,PESP_mucho
68828,PESR_medio
68896,CAMP_mucho
68896,CUCH_poco
68896,INDP_medio
68896,INDU_medio
68896,OPTI_poco
68896,PESP_poco
68896,TIRO_poco
68907,CAMP_mucho
68907,INDP_medio
68907,INDU_medio
68943,PESC_poco
68943,PESR_poco
68975,CAMP_mucho
68975,INDP_poco
68975,INDU_poco
69023,CAMP_medio
69023,INDU_poco
69023,PESC_medio
69023,PESP_medio
69023,PESR_medio
69032,CAMP_mucho
69032,INDP_medio
69032,PESP_medio
69032,TIRO_poco
69080,CAMP_mucho
69080,OPTI_mucho
69080,PESP_mucho
69080,PESR_medio
69080,TIRO_mucho
69089,OPTI_mucho
69097,CAMP_mucho
69097,CUCH_poco
69097,INDP_poco
69097,INDU_mucho
69097,PESC_mucho
69097,PESP_mucho
69097,PESR_mucho
69097,TIRO_poco
69100,CAMP_medio
69100,INDU_poco
69100,PESP_poco
69100,TIRO_poco
69125,INDU_medio
69125,PESP_poco
69135,CAMP_mucho
69135,CUCH_poco
69135,INST_poco
69135,OPTI_mucho
69135,PESP_poco
69142,OPTI_mucho
69145,CAMP_poco
69145,CUCH_poco
69145,INST_medio
69145,OPTI_mucho
69147,OPTI_medio
69148,CAMP_poco
69148,OPTI_mucho
69192,CAMP_poco
69192,CUCH_poco
69192,INST_poco
69192,OPTI_medio
69200,CAMP_medio
69220,PESC_mucho
69220,PESP_mucho
69220,PESR_mucho
69252,CAMP_medio
69252,CUCH_poco
69252,INDU_poco
69252,PESC_poco
69252,PESP_poco
69252,PESR_poco
69259,CAMP_medio
69259,OPTI_medio
69273,CAMP_mucho
69277,INDU_mucho
69277,PESC_mucho
69277,PESP_mucho
69277,PESR_mucho
69297,INDP_poco
69297,PESC_medio
69297,PESP_poco
69297,PESR_poco
69310,CAMP_medio
69310,CUCH_poco
69310,INDU_mucho
69310,PESC_medio
69310,PESP_poco
69310,PESR_medio
69310,TIRO_medio
69337,CAMP_medio
69337,INDP_medio
69337,INDU_poco
69337,INST_poco
69337,OPTI_medio
69337,PESC_mucho
69337,PESP_mucho
69337,PESR_medio
69337,TIRO_poco
69347,CAMP_poco
69347,INST_poco
69347,OPTI_mucho
69383,CAMP_poco
69383,CUCH_poco
69383,INST_poco
69383,OPTI_mucho
69383,PESP_poco
69392,CAMP_mucho
69392,INDU_poco
69392,OPTI_medio
69392,PESC_medio
69392,PESP_mucho
69392,TIRO_medio
69476,CAMP_medio
69476,OPTI_mucho
69527,CAMP_medio
69527,INDP_mucho
69555,CAMP_mucho
69555,CUCH_poco
69555,INDP_medio
69555,OPTI_medio
69555,PESC_mucho
69555,PESP_mucho
69555,PESR_mucho
69555,TIRO_medio
69580,CAMP_poco
69580,OPTI_mucho
69600,CAMP_mucho
69600,INDP_mucho
69600,INDU_medio
69600,PESC_mucho
69600,PESP_mucho
69600,PESR_mucho
69600,TIRO_poco
69607,CAMP_mucho
69607,INDU_medio
69607,PESP_medio
69607,TIRO_poco
69618,CAMP_medio
69618,PESC_medio
69618,PESP_medio
69618,PESR_mucho
69664,CAMP_mucho
69664,INDU_poco
69664,PESP_poco
69689,OPTI_poco
69713,CAMP_mucho
69713,CUCH_poco
69713,INDP_medio
69713,INDU_mucho
69713,OPTI_mucho
69713,PESC_mucho
69713,PESP_medio
69713,PESR_medio
69713,TIRO_medio
69721,CAMP_poco
69721,INDP_medio
69721,INDU_poco
69721,OPTI_poco
69721,PESC_medio
69721,PESP_mucho
69732,PESP_mucho
69743,CAMP_poco
69743,PESC_mucho
69743,PESP_poco
69743,PESR_mucho
69750,CAMP_mucho
69750,CUCH_poco
69750,INDU_poco
69750,PESC_medio
69750,PESP_medio
69750,PESR_poco
69750,TIRO_medio
69799,CAMP_mucho
69799,INDP_mucho
69799,INDU_mucho
69799,OPTI_medio
69799,PESP_medio
69799,TIRO_mucho
69800,CUCH_poco
69800,INDP_mucho
69800,PESC_medio
69800,PESP_poco
69824,CAMP_mucho
69824,OPTI_poco
69829,CAMP_medio
69829,PESC_mucho
69829,PESP_medio
69829,PESR_medio
69868,CAMP_mucho
69868,INDP_medio
69868,INDU_medio
69868,OPTI_medio
69868,PESC_medio
69868,PESP_medio
69868,PESR_medio
69871,CAMP_mucho
69871,INDP_medio
69871,OPTI_mucho
69871,PESC_mucho
69871,PESP_poco
69871,PESR_medio
69871,TIRO_poco
69876,CAMP_mucho
69876,INDP_medio
69876,INDU_mucho
69876,PESP_mucho
69876,TIRO_medio
69882,CAMP_mucho
69882,CUCH_poco
69882,INDP_poco
69882,OPTI_medio
69882,PESC_mucho
69882,PESP_medio
69882,PESR_medio
69882,TIRO_medio
69966,CAMP_mucho
69966,INDP_medio
69966,PESC_medio
69966,PESP_mucho
69966,PESR_medio
69989,CAMP_medio
69989,CUCH_poco
69989,PESC_poco
69989,PESP_poco
70036,CAMP_mucho
70036,CUCH_poco
70036,INDP_medio
70036,OPTI_mucho
70036,PESC_mucho
70036,PESP_mucho
70036,PESR_mucho
70036,TIRO_poco
70064,CAMP_poco
70064,OPTI_mucho
70088,CAMP_mucho
70088,INDU_mucho
70088,OPTI_poco
70088,PESC_medio
70088,PESP_medio
70088,PESR_medio
70088,TIRO_medio
70161,CAMP_poco
70161,INDP_poco
70161,PESC_medio
70161,PESP_medio
70161,PESR_medio
70178,CAMP_poco
70178,INDU_poco
70178,PESC_medio
70178,PESP_mucho
70178,PESR_medio
70192,CAMP_mucho
70192,CUCH_poco
70192,INDP_poco
70192,INDU_mucho
70192,OPTI_medio
70192,PESC_mucho
70192,PESP_mucho
70192,PESR_mucho
70192,TIRO_medio
70278,CAMP_poco
70278,OPTI_mucho
70279,CAMP_mucho
70279,INDP_mucho
70279,INDU_poco
70279,OPTI_medio
70279,PESC_medio
70279,PESR_medio
70279,TIRO_mucho
70283,CAMP_mucho
70283,INDP_mucho
70283,INDU_medio
70283,OPTI_poco
70283,PESC_mucho
70283,PESP_mucho
70283,PESR_mucho
70294,CAMP_mucho
70294,CUCH_poco
70294,PESC_medio
70294,PESP_mucho
70294,PESR_poco
70294,TIRO_medio
70312,CAMP_mucho
70312,PESP_mucho
70312,TIRO_poco
70344,CAMP_mucho
70344,OPTI_medio
70344,PESC_medio
70344,PESP_poco
70344,PESR_poco
70348,CAMP_mucho
70348,PESC_mucho
70348,PESP_mucho
70348,PESR_mucho
70348,TIRO_medio
70359,CAMP_mucho
70359,CUCH_medio
70359,INDP_mucho
70359,INDU_medio
70359,OPTI_mucho
70359,PESC_mucho
70359,PESP_mucho
70359,PESR_mucho
70359,TIRO_medio
70361,CAMP_mucho
70361,CUCH_medio
70361,INDU_medio
70361,OPTI_mucho
70361,PESC_mucho
70361,PESP_mucho
70361,PESR_mucho
70372,CAMP_poco
70372,CUCH_poco
70372,OPTI_mucho
70379,CAMP_mucho
70379,OPTI_mucho
70379,PESC_mucho
70379,PESP_mucho
70379,PESR_mucho
70379,TIRO_poco
70408,CAMP_mucho
70408,OPTI_mucho
70408,PESC_mucho
70408,PESP_mucho
70408,PESR_mucho
70408,TIRO_medio
70427,CAMP_poco
70427,CUCH_poco
70427,PESC_medio
70427,PESP_medio
70427,PESR_medio
70427,TIRO_poco
70442,CAMP_mucho
70442,INDP_mucho
70442,OPTI_medio
70442,PESP_medio
70442,PESR_poco
70442,TIRO_mucho
70448,CAMP_poco
70448,CUCH_poco
70448,INDU_poco
70448,PESC_poco
70448,PESP_poco
70448,PESR_poco
70471,CAMP_mucho
70471,INDU_poco
70471,PESP_medio
70476,CAMP_poco
70476,CUCH_medio
70476,PESP_mucho
70476,PESR_poco
70476,TIRO_poco
70483,CAMP_mucho
70483,INDU_poco
70483,OPTI_medio
70494,CAMP_mucho
70494,CUCH_poco
70494,INDP_poco
70494,INDU_medio
70494,PESC_mucho
70494,PESP_mucho
70494,PESR_medio
70494,TIRO_poco
70495,PESP_poco
70530,CAMP_mucho
70530,CUCH_mucho
70530,INDP_medio
70530,INDU_medio
70530,OPTI_mucho
70530,PESC_mucho
70530,PESP_mucho
70530,PESR_mucho
70530,TIRO_mucho
70545,CAMP_mucho
70545,CUCH_medio
70545,INDP_medio
70545,INDU_poco
70545,OPTI_medio
70545,PESC_mucho
70545,PESP_mucho
70545,PESR_mucho
70556,CAMP_mucho
70556,CUCH_poco
70556,INDP_mucho
70556,OPTI_mucho
70556,PESC_mucho
70556,PESP_mucho
70556,PESR_mucho
70556,TIRO_medio
70561,PESP_poco
